X,-1.3041237113402064 -0.16223195876288654,-0.6782246879334259 -0.6886130374479889,1.6388140161725069 -4.307827493261456,2.6141304347826093 -6.554956521739132,0.6180555555555545 -0.8541666666666643
0.259,-0.5,-0.8642732316227462,-3.883374663072777,-5.877896739130436,-0.6940902777777757
0.26,-0.5013041237113403,-0.8649514563106796,-3.8817358490566045,-5.875282608695653,-0.6934722222222202
0.261,-0.5026082474226805,-0.865629680998613,-3.880097035040432,-5.872668478260871,-0.6928541666666646
0.262,-0.5039123711340207,-0.8663079056865465,-3.8784582210242595,-5.870054347826088,-0.692236111111109
0.263,-0.5052164948453608,-0.8669861303744799,-3.876819407008087,-5.867440217391305,-0.6916180555555534
0.264,-0.506520618556701,-0.8676643550624132,-3.8751805929919145,-5.864826086956523,-0.690999999999998
0.265,-0.5078247422680413,-0.8683425797503468,-3.873541778975742,-5.86221195652174,-0.6903819444444423
0.266,-0.5091288659793815,-0.8690208044382801,-3.8719029649595695,-5.859597826086958,-0.6897638888888868
0.267,-0.5104329896907217,-0.8696990291262136,-3.870264150943397,-5.856983695652175,-0.6891458333333312
0.268,-0.5117371134020618,-0.870377253814147,-3.8686253369272245,-5.854369565217392,-0.6885277777777756
0.269,-0.5130412371134021,-0.8710554785020804,-3.866986522911052,-5.85175543478261,-0.6879097222222201
0.27,-0.5143453608247424,-0.8717337031900139,-3.8653477088948796,-5.849141304347827,-0.6872916666666646
0.271,-0.5156494845360825,-0.8724119278779473,-3.8637088948787066,-5.846527173913045,-0.686673611111109
0.272,-0.5169536082474226,-0.8730901525658807,-3.862070080862534,-5.843913043478262,-0.6860555555555534
0.273,-0.5182577319587629,-0.8737683772538142,-3.8604312668463616,-5.841298913043479,-0.6854374999999979
0.274,-0.5195618556701032,-0.8744466019417476,-3.858792452830189,-5.838684782608697,-0.6848194444444424
0.275,-0.5208659793814434,-0.8751248266296809,-3.8571536388140166,-5.836070652173914,-0.6842013888888868
0.276,-0.5221701030927836,-0.8758030513176145,-3.855514824797844,-5.833456521739132,-0.6835833333333312
0.277,-0.5234742268041237,-0.8764812760055478,-3.8538760107816716,-5.830842391304349,-0.6829652777777757
0.278,-0.524778350515464,-0.8771595006934813,-3.852237196765499,-5.828228260869566,-0.6823472222222201
0.279,-0.5260824742268042,-0.8778377253814147,-3.8505983827493266,-5.825614130434784,-0.6817291666666646
0.28,-0.5273865979381444,-0.8785159500693481,-3.848959568733154,-5.823000000000001,-0.681111111111109
0.281,-0.5286907216494846,-0.8791941747572816,-3.8473207547169817,-5.820385869565218,-0.6804930555555535
0.282,-0.5299948453608248,-0.8798723994452149,-3.845681940700809,-5.8177717391304355,-0.679874999999998
0.283,-0.531298969072165,-0.8805506241331484,-3.8440431266846367,-5.815157608695653,-0.6792569444444424
0.284,-0.5326030927835051,-0.8812288488210818,-3.842404312668464,-5.812543478260871,-0.6786388888888868
0.285,-0.5339072164948453,-0.8819070735090152,-3.8407654986522917,-5.809929347826088,-0.6780208333333313
0.286,-0.5352113402061855,-0.8825852981969486,-3.839126684636119,-5.807315217391306,-0.6774027777777758
0.287,-0.5365154639175258,-0.8832635228848821,-3.8374878706199467,-5.8047010869565225,-0.6767847222222202
0.288,-0.537819587628866,-0.8839417475728155,-3.835849056603774,-5.80208695652174,-0.6761666666666646
0.289,-0.5391237113402062,-0.884619972260749,-3.8342102425876017,-5.799472826086958,-0.6755486111111091
0.29,-0.5404278350515463,-0.8852981969486824,-3.832571428571429,-5.796858695652175,-0.6749305555555535
0.291,-0.5417319587628866,-0.8859764216366157,-3.8309326145552567,-5.794244565217392,-0.674312499999998
0.292,-0.5430360824742269,-0.8866546463245493,-3.829293800539084,-5.7916304347826095,-0.6736944444444424
