X,0.175111111111111 -1.2891111111111107 0.6187777777777778,0.378888888888889 -2.4098888888888896 2.045222222222224,0.05044444444444454 0.3818888888888874 -3.7025555555555525,-0.30088888888888865 4.422222222222219 -15.120888888888887,-1.1975555555555506 17.423888888888808 -61.74755555555524,1.4666666666666734 -29.200000000000124 140.7333333333339,0.15555555555555708 -2.322222222222254 3.722222222222367,-0.7777777777777752 19.61111111111105 -124.61111111111074,1.2444444444444551 -33.97777777777807 229.27777777777973
0.5,0.018000000000000127,0.9350000000000014,-3.498999999999998,-12.985,-53.334999999999724,126.5000000000005,2.6000000000001293,-114.99999999999966,212.6000000000018
0.501,0.016886175111111346,0.9329693788888904,-3.49856761622222,-12.980878967555554,-53.31877486422194,126.47226813333383,2.597833488889018,-114.98116744444411,212.56726791111294
0.502,0.015772700444444565,0.9309395155555569,-3.498135131555553,-12.976758536888887,-53.30255212355527,126.44453920000049,2.595667288889018,-114.9623364444441,212.53453831111293
0.503,0.01465957600000023,0.9289104100000014,-3.4977025459999975,-12.972638708,-53.28633177799972,126.41681320000049,2.5935014000001293,-114.94350699999967,212.5018112000018
0.504,0.013546801777778006,0.9268820622222238,-3.497269859555553,-12.968519480888888,-53.27011382755528,126.38909013333382,2.5913358222223515,-114.92467911111078,212.4690865777796
0.505,0.012434377777777894,0.9248544722222236,-3.49683707222222,-12.964400855555555,-53.253898272221946,126.36137000000049,2.5891705555556848,-114.90585277777744,212.43636444444624
0.506,0.011322304000000227,0.9228276400000015,-3.4964041839999975,-12.960282831999999,-53.237685111999724,126.3336528000005,2.587005600000129,-114.88702799999966,212.4036448000018
0.507,0.010210580444444672,0.920801565555557,-3.4959711948888867,-12.956165410222223,-53.22147434688861,126.30593853333383,2.584840955555685,-114.86820477777744,212.37092764444625
0.508,0.00909920711111123,0.9187762488888904,-3.4955381048888867,-12.952048590222223,-53.20526597688861,126.27822720000049,2.582676622222351,-114.84938311111077,212.3382129777796
0.509,0.007988184000000231,0.9167516900000015,-3.495104913999998,-12.947932372,-53.18906000199972,126.25051880000049,2.5805126000001293,-114.83056299999967,212.30550080000182
0.51,0.006877511111111345,0.9147278888888903,-3.49467162222222,-12.943816755555556,-53.17285642222194,126.22281333333383,2.578348888889018,-114.81174444444412,212.27279111111292
0.511,0.005767188444444571,0.9127048455555571,-3.4942382295555534,-12.93970174088889,-53.15665523755528,126.19511080000049,2.576185488889018,-114.7929274444441,212.24008391111292
0.512,0.004657216000000131,0.9106825600000015,-3.4938047359999977,-12.935587328,-53.140456447999725,126.16741120000049,2.574022400000129,-114.77411199999966,212.2073792000018
0.513,0.003547593777778024,0.9086610322222237,-3.4933711415555533,-12.93147351688889,-53.124260053555275,126.13971453333383,2.5718596222223513,-114.75529811111078,212.1746769777796
