X,-0.8513333333333333 0.44366666666666665,-0.32600000000000007 -0.6069999999999998,0.8106666666666668 -4.585333333333335,0.9620000000000002 -5.342000000000001,0.05933333333333335 0.5253333333333332,-3.533333333333332 29.266666666666655,0.8666666666666667 -12.533333333333335,1.3333333333333333 -17.666666666666664,-0.9999999999999993 11.499999999999993,2.7333333333333325 -40.76666666666665
0.5,0.018000000000000016,-0.7699999999999998,-4.1800000000000015,-4.8610000000000015,0.5549999999999999,27.49999999999999,-12.100000000000001,-16.999999999999996,10.999999999999993,-39.399999999999984
0.501,0.0171486666666667,-0.7703259999999998,-4.179189333333334,-4.860038000000001,0.5550593333333332,27.496466666666656,-12.099133333333334,-16.998666666666665,10.998999999999993,-39.39726666666665
0.502,0.01629733333333333,-0.7706519999999998,-4.178378666666668,-4.859076000000002,0.5551186666666665,27.492933333333323,-12.09826666666667,-16.99733333333333,10.997999999999994,-39.39453333333332
0.503,0.015446000000000015,-0.7709779999999998,-4.177568000000001,-4.858114000000001,0.5551779999999998,27.48939999999999,-12.097400000000002,-16.996,10.996999999999993,-39.39179999999998
0.504,0.0145946666666667,-0.7713039999999998,-4.1767573333333345,-4.857152000000001,0.5552373333333332,27.485866666666656,-12.096533333333335,-16.994666666666664,10.995999999999993,-39.38906666666665
0.505,0.01374333333333333,-0.7716299999999998,-4.175946666666668,-4.856190000000002,0.5552966666666665,27.482333333333322,-12.095666666666668,-16.993333333333332,10.994999999999994,-39.38633333333332
0.506,0.012892000000000015,-0.7719559999999999,-4.175136000000001,-4.855228000000001,0.5553559999999998,27.47879999999999,-12.094800000000001,-16.991999999999997,10.993999999999993,-39.38359999999999
0.507,0.0120406666666667,-0.7722819999999998,-4.174325333333335,-4.854266000000001,0.5554153333333333,27.475266666666656,-12.093933333333336,-16.990666666666666,10.992999999999993,-39.38086666666665
0.508,0.011189333333333329,-0.7726079999999997,-4.173514666666668,-4.853304000000001,0.5554746666666666,27.471733333333322,-12.093066666666669,-16.98933333333333,10.991999999999994,-39.37813333333332
0.509,0.010338000000000014,-0.7729339999999998,-4.172704000000001,-4.852342000000001,0.5555339999999999,27.46819999999999,-12.092200000000002,-16.987999999999996,10.990999999999993,-39.375399999999985
0.51,0.009486666666666699,-0.7732599999999998,-4.171893333333335,-4.851380000000002,0.5555933333333332,27.464666666666655,-12.091333333333335,-16.986666666666665,10.989999999999993,-39.37266666666665
0.511,0.008635333333333328,-0.7735859999999998,-4.171082666666668,-4.850418000000001,0.5556526666666666,27.461133333333322,-12.090466666666668,-16.98533333333333,10.988999999999994,-39.36993333333332
0.512,0.007784000000000013,-0.7739119999999998,-4.1702720000000015,-4.849456000000002,0.5557119999999999,27.45759999999999,-12.0896,-16.983999999999998,10.987999999999992,-39.36719999999998
0.513,0.006932666666666698,-0.7742379999999998,-4.169461333333334,-4.848494000000001,0.5557713333333332,27.454066666666655,-12.088733333333336,-16.982666666666663,10.986999999999993,-39.36446666666665
0.514,0.0060813333333333275,-0.7745639999999998,-4.168650666666668,-4.847532000000001,0.5558306666666666,27.450533333333322,-12.087866666666669,-16.981333333333332,10.985999999999994,-39.36173333333332
0.515,0.005230000000000012,-0.7748899999999999,-4.167840000000001,-4.846570000000002,0.5558899999999999,27.44699999999999,-12.087000000000002,-16.979999999999997,10.984999999999992,-39.35899999999999
0.516,0.004378666666666697,-0.7752159999999998,-4.167029333333335,-4.845608000000001,0.5559493333333332,27.443466666666655,-12.086133333333335,-16.978666666666665,10.983999999999993,-39.35626666666665
0.517,0.0035273333333333268,-0.7755419999999998,-4.166218666666667,-4.844646000000001,0.5560086666666666,27.43993333333332,-12.085266666666667,-16.97733333333333,10.982999999999993,-39.35353333333332
0.518,0.0026760000000000117,-0.7758679999999998,-4.165408000000001,-4.843684000000001,0.5560679999999999,27.43639999999999,-12.084400000000002,-16.976,10.981999999999994,-39.350799999999985
0.519,0.0018246666666666966,-0.7761939999999998,-4.164597333333335,-4.842722000000001,0.5561273333333332,27.432866666666655,-12.083533333333335,-16.974666666666664,10.980999999999993,-39.348066666666654
0.52,9.733333333333261E-4,-0.7765199999999998,-4.163786666666668,-4.841760000000002,0.5561866666666666,27.42933333333332,-12.082666666666668,-16.97333333333333,10.979999999999993,-39.34533333333332
0.521,1.2200000000001099E-4,-0.7768459999999998,-4.162976000000001,-4.840798000000001,0.5562459999999999,27.425799999999988,-12.081800000000001,-16.971999999999998,10.978999999999994,-39.34259999999998
0.522,-7.293333333333596E-4,-0.7771719999999998,-4.162165333333334,-4.839836000000001,0.5563053333333332,27.422266666666655,-12.080933333333334,-16.970666666666663,10.977999999999993,-39.33986666666665
0.523,-0.0015806666666666747,-0.7774979999999998,-4.161354666666668,-4.8388740000000015,0.5563646666666665,27.41873333333332,-12.080066666666669,-16.96933333333333,10.976999999999993,-39.33713333333332
